Type,RID,PIX,AID,Vendor,Name,Country,Description,BANK CODE
,A000000001,101,A00000000101,PBS Danm?nt A/S,MUSCLE Card Applet,Denmark,(Unlicensed use of this RID. Proposal to use A000000323 instead),
GP,A000000003,3000000,A000000003000000,Visa International,(VISA) Card Manager,United States,Used by most GP2.1.1 cards / Oberthur OP201 cards. Visa Proprietary Card Manager AID for OpenPlatform cards (visa.openplatform).,
,A000000003,300037561,A00000000300037561,Visa International,Bonuscard,United States,,
EMV,A000000003,305076010,A00000000305076010,Visa International,VISA ELO Credit,United States,,
EMV,A000000003,31010,A0000000031010,Visa International,VISA Debit/Credit (Classic),United States,Standard/Gold VISA credit card,
EMV,A000000003,3101001,A000000003101001,Visa International,VISA Credit,United States,,
EMV,A000000003,3101002,A000000003101002,Visa International,VISA Debit,United States,,
EMV,A000000003,32010,A0000000032010,Visa International,VISA Electron,United States,VISA Electron (Debit),
EMV,A000000003,32020,A0000000032020,Visa International,VISA,United States,V PAY,
EMV,A000000003,33010,A0000000033010,Visa International,VISA Interlink,United States,VISA Interlink,
EMV,A000000003,34010,A0000000034010,Visa International,VISA Specific,United States,Visa Specific,
EMV,A000000003,35010,A0000000035010,Visa International,VISA Specific,United States,Visa Specific,
GP,A000000003,3534441,A000000003534441,Visa International,Schlumberger Security Domain,United States,,
GP,A000000003,35350,A0000000035350,Visa International,Security Domain,United States,OCS Oberthur Card System Security Domain Package AID / VGP Card Manager (for ISD and ASD),
GP,A000000003,3535041,A000000003535041,Visa International,Security Domain,United States,OCS Oberthur Card System Security Domain Applet AID / VGP Card Manager (for ISD and ASD),
EMV,A000000003,36010,A0000000036010,Visa International,Domestic Visa Cash Stored Value,United States,,
EMV,A000000003,36020,A0000000036020,Visa International,International Visa Cash Stored Value,United States,,
EMV,A000000003,38002,A0000000038002,Visa International,VISA Auth; VisaRemAuthen EMV-CAP (DPA),United States,VISA Auth dynamic passcode authentication (DPA). Used by Barclays/HBOS,
EMV,A000000003,38010,A0000000038010,Visa International,VISA Plus,United States,VISA plus,
EMV,A000000003,39010,A0000000039010,Visa International,VISA Loyalty,United States,,
EMV,A000000003,3999910,A000000003999910,Visa International,VISA Proprietary ATM,United States,,
GP,A000000004,40000,A0000000040000,Mastercard International,MasterCard Card Manager,United States,Security Domain,
EMV,A000000004,401,A00000000401,Mastercard International,MasterCard PayPass,United States,AEPM (Association Europ?enne Payez Mobile),
EMV,A000000004,41010,A0000000041010,Mastercard International,MasterCard Credit,United States,Standard MasterCard,
EMV,A000000004,410101213,A00000000410101213,Mastercard International,MasterCard Credit,United States,Standard MasterCard,
EMV,A000000004,410101215,A00000000410101215,Mastercard International,MasterCard Credit,United States,Standard MasterCard,
,A000000004,41010BB5449435301,A0000000041010BB5449435301,Mastercard International,[UNKNOWN],United States,Some co-branded card?,
EMV,A000000004,42010,A0000000042010,Mastercard International,MasterCard Specific,United States,MasterCard Specific,
,A000000004,42203,A0000000042203,Mastercard International,MasterCard Specific,United States,MasterCard U.S. Maestro,
EMV,A000000004,43010,A0000000043010,Mastercard International,MasterCard Specific,United States,MasterCard Specific,
EMV,A000000004,43060,A0000000043060,Mastercard International,Maestro (Debit),United States,Maestro (Debit) Card,
EMV,A000000004,4306001,A000000004306001,Mastercard International,Maestro (Debit),United States,Maestro (Debit) Card,
EMV,A000000004,44010,A0000000044010,Mastercard International,MasterCard Specific,United States,MasterCard Specific,
EMV,A000000004,45010,A0000000045010,Mastercard International,MasterCard Specific,United States,MasterCard Specific,
,A000000004,45555,A0000000045555,Mastercard International,APDULogger,United States,AID on Cirrus Test Card,
EMV,A000000004,46000,A0000000046000,Mastercard International,Cirrus,United States,Mastercard Cirrus (Interbank Network) ATM card only,
EMV,A000000004,48002,A0000000048002,Mastercard International,SecureCode Auth EMV-CAP,United States,Chip Authentication Protocol (CAP). Works with NatWest or SecureCode Aut,
EMV,A000000004,49999,A0000000049999,Mastercard International,MasterCard PayPass??,United States,,
EMV,A000000005,50001,A0000000050001,Switch Card Services Ltd.,Maestro UK,United Kingdom,UK Domestic Maestro - Switch (debit card),
EMV,A000000005,50002,A0000000050002,Switch Card Services Ltd.,Solo,United Kingdom,UK Domestic Maestro - Switch (debit card),
,A000000009,90001FF44FF1289,A0000000090001FF44FF1289,ETSI,Orange,France,Orange UK,
,A000000010,01030,A0000000101030,Europay International,Maestro-CH,Belgium,,
,A000000018,800,A00000001800,GEMPLUS,Gemplus ?,France,,
,A000000018,81001,A0000000181001,GEMPLUS,com.gemplus.javacard.util packages,France,,
GP,A000000018,8434D,A000000018434D,GEMPLUS,Gemplus card manager,France,434D = CM (ascii). Security domain for some GCX/GXP cards (GemXpresso Pro) (Gemalto),
GP,A000000018,8434D00,A000000018434D00,GEMPLUS,Gemplus Security Domain,France,(Gemalto),
EMV,A000000024,401,A00000002401,Midland Bank Plc,Self Service,United Kingdom,,
EMV,A000000025,5,A000000025,American Express,American Express,United Kingdom,,
EMV,A000000025,50000,A0000000250000,American Express,American Express,United Kingdom,American Express (Credit/Debit),
